state,forecast_date,predicted_yield,lower_bound,upper_bound
Iowa,1-Aug,188.6,169.77,207.43
Iowa,1-Sep,178.12,159.29,196.96
Iowa,1-Oct,117.88,99.05,136.71
Iowa,final,161.53,142.7,180.37
Colorado,1-Aug,156.26,144.16,168.36
Colorado,1-Sep,148.58,136.48,160.68
Colorado,1-Oct,97.34,85.24,109.44
Colorado,final,134.06,121.96,146.16
Wisconsin,1-Aug,195.5,178.28,212.73
Wisconsin,1-Sep,181.54,164.31,198.77
Wisconsin,1-Oct,117.3,100.07,134.53
Wisconsin,final,164.78,147.55,182.01
Missouri,1-Aug,174.02,147.81,200.24
Missouri,1-Sep,160.64,134.42,186.85
Missouri,1-Oct,107.09,80.88,133.31
Missouri,final,147.25,121.04,173.47
Nebraska,1-Aug,188.72,174.45,202.99
Nebraska,1-Sep,175.05,160.78,189.32
Nebraska,1-Oct,117.61,103.34,131.88
Nebraska,final,160.46,146.19,174.73
